gender,gradeID,raisedHands,semester,visitedResources,announcementsView,discussion,parentParticipating,studentAbsenceDays,class
1,4,10,1,7,0,30,0,1,0
1,4,30,1,25,5,35,0,1,0
1,7,35,1,12,0,17,0,1,0
1,7,50,1,88,30,80,1,0,1
1,4,5,1,1,0,11,0,1,0
1,8,20,1,14,12,19,0,1,0
2,8,62,1,70,44,60,0,1,1
1,7,70,1,50,40,99,1,0,1
1,7,2,1,0,2,50,0,1,0
1,7,0,1,2,3,70,1,1,0
1,7,8,1,7,30,40,1,1,0
1,8,25,1,15,12,33,0,1,0
2,8,35,1,80,50,70,1,0,1
1,7,4,1,5,40,16,1,1,0
2,7,2,1,19,10,50,1,1,0
1,5,8,1,22,9,40,0,1,0
1,7,12,1,11,8,40,0,1,0
1,7,10,1,12,17,30,0,1,0
1,7,8,1,6,4,22,1,1,0
1,6,0,1,0,0,4,0,1,0
2,7,14,1,13,3,70,0,1,0
1,9,10,1,12,7,33,1,1,0
1,7,20,1,12,15,70,0,1,0
1,5,7,1,10,1,30,0,1,0
2,12,70,1,4,39,90,1,0,1
2,12,13,1,80,40,88,1,0,1
2,12,20,1,14,12,70,0,1,0
1,12,39,1,15,16,50,0,1,0
2,11,49,1,70,19,75,1,0,1
1,12,12,1,50,8,30,0,1,0
1,7,16,1,14,6,20,1,1,0
1,8,19,1,5,4,1,1,1,0
1,7,5,1,2,6,5,1,1,0
2,5,21,1,10,28,20,0,1,0
1,10,80,1,90,70,80,1,0,1
1,10,0,1,5,7,2,0,1,0
1,12,13,1,5,18,19,0,1,0
2,12,65,1,75,23,80,1,0,1
2,12,70,1,69,35,30,1,0,1
1,7,22,1,30,10,12,1,1,0
1,7,11,1,2,2,8,0,0,0
1,7,12,1,0,6,13,0,0,0
1,11,13,1,3,11,9,0,1,0
2,7,80,1,90,49,55,1,0,1
1,7,8,1,15,10,40,1,0,0
1,2,8,1,25,1,70,0,1,0
1,2,7,1,5,2,80,1,1,0
1,2,50,1,70,50,10,1,1,1
1,2,1,1,0,1,12,0,1,0
1,2,70,1,12,40,50,1,0,1
1,2,19,1,70,3,50,0,0,0
2,2,3,1,12,4,33,0,0,0
1,2,5,1,20,1,50,1,1,0
1,2,4,1,8,10,60,1,1,0
1,2,80,1,90,55,19,1,0,1
2,2,50,1,70,19,15,1,0,1
1,2,55,1,89,40,40,1,0,1
2,2,80,1,44,35,10,0,1,0
2,2,100,1,80,2,70,0,0,1
2,2,14,1,60,11,75,1,0,1
2,2,70,1,92,50,7,1,0,1
2,2,2,1,6,2,8,0,1,0
1,2,1,1,7,6,10,0,1,0
2,2,0,1,0,5,80,1,1,0
1,2,70,1,90,41,33,1,0,1
2,2,70,1,88,55,40,1,0,1
1,2,2,1,5,3,50,0,1,0
1,2,25,1,27,0,69,0,1,0
1,2,11,1,2,0,50,0,1,0
1,2,0,1,8,11,70,1,1,0
2,2,25,1,29,40,17,0,0,1
1,2,0,1,4,8,30,0,1,0
1,2,0,1,6,4,15,1,0,0
1,2,12,1,30,0,17,0,1,0
1,2,55,1,33,6,9,0,1,0
1,2,12,1,10,20,16,0,0,0
1,2,70,1,90,2,2,1,0,0
2,2,7,1,9,5,30,0,1,0
1,2,0,2,3,10,3,0,1,0
1,2,12,2,60,0,70,1,1,0
1,7,80,2,80,15,70,1,0,1
2,7,70,2,80,95,70,1,0,1
2,11,70,2,80,95,70,1,0,1
2,7,100,1,80,95,90,0,0,1
1,7,10,1,60,5,20,1,1,0
1,7,19,2,65,50,10,0,1,0
1,7,80,2,90,55,19,1,0,1
1,7,10,2,10,15,19,0,1,0
2,7,100,2,75,50,70,1,0,1
2,7,100,2,75,50,70,1,0,1
1,11,10,2,51,40,40,0,1,0
1,11,70,2,58,73,91,1,0,1
1,7,22,2,51,48,10,0,1,0
2,7,82,2,89,58,50,1,0,1
2,2,70,2,82,3,73,0,0,1
2,2,72,2,65,73,66,1,0,1
1,2,80,2,92,83,43,1,0,1
1,2,60,2,52,23,33,1,0,1
1,2,40,2,62,83,33,1,0,1
1,2,20,2,22,53,13,0,1,0
1,2,20,2,52,23,33,1,1,0
1,2,10,2,2,13,53,0,1,0
1,2,60,2,52,23,33,1,0,1
2,2,80,2,42,33,13,1,0,1
2,2,60,2,70,63,93,1,0,1
1,2,50,2,62,13,33,0,1,0
1,8,85,2,75,62,53,1,0,1
1,8,10,2,35,30,13,0,1,0
1,8,87,2,65,82,33,1,0,1
1,8,75,2,71,72,53,1,0,1
1,8,23,2,25,32,53,0,0,0
1,8,15,2,25,37,13,1,1,0
1,8,92,2,65,62,53,1,0,1
1,8,83,2,75,62,53,0,0,1
1,8,27,2,15,42,53,0,1,0
1,8,15,2,90,52,83,1,0,1
2,8,45,2,58,52,43,1,0,1
1,8,29,2,10,12,24,0,1,0
2,8,72,2,51,42,24,1,1,1
1,8,27,2,90,82,14,1,0,1
1,8,87,2,81,42,19,1,0,1
1,8,7,2,61,22,14,0,1,0
1,8,17,2,50,2,4,0,1,0
1,8,5,2,21,42,14,0,1,0
1,8,96,2,61,42,94,1,0,1
1,8,72,2,83,12,90,1,0,1
1,8,87,2,81,22,70,1,0,1
1,8,2,2,11,62,30,0,0,0
1,8,5,2,3,2,10,1,0,0
1,11,73,2,84,77,81,1,1,1
1,8,5,2,17,21,10,0,1,0
1,8,9,2,7,21,20,1,1,0
1,7,12,2,8,18,26,0,1,0
1,7,52,2,10,13,6,0,1,0
1,7,92,2,80,88,76,1,0,1
1,7,72,2,80,98,96,1,0,1
1,7,22,2,20,18,6,0,1,0
1,7,70,2,92,83,85,1,0,1
2,6,80,2,94,62,77,1,0,1
2,6,70,2,40,2,16,0,1,0
1,4,15,2,6,32,40,1,0,1
1,4,19,2,74,32,17,0,1,0
1,4,39,2,26,12,44,0,1,0
1,4,59,2,97,42,70,1,0,1
1,4,10,2,17,12,40,1,0,1
2,4,80,2,87,72,60,0,0,1
1,4,69,2,34,12,17,0,1,0
1,4,10,2,17,12,14,0,1,0
1,6,72,1,21,22,26,1,0,1
1,6,92,2,31,42,27,1,0,1
1,6,74,1,71,56,37,0,0,1
1,6,74,2,60,56,37,0,0,1
2,4,49,1,36,32,44,0,1,0
2,4,42,2,24,12,24,0,1,0
2,4,90,1,86,82,74,1,0,1
2,4,62,2,64,72,84,1,0,1
2,4,98,1,87,86,84,0,0,1
2,4,72,2,74,82,89,0,0,1
1,4,10,1,12,20,13,0,1,0
1,4,22,2,34,15,9,0,1,0
1,4,65,1,59,74,83,1,0,1
1,4,72,2,64,59,89,1,0,1
2,4,55,1,79,44,43,1,0,1
2,4,62,2,64,69,49,1,0,1
2,4,78,1,88,74,83,1,0,1
2,4,72,2,84,89,89,1,0,1
1,2,60,1,92,83,23,1,0,1
1,2,50,2,90,83,13,1,0,1
2,2,60,1,97,13,3,1,0,1
2,2,50,2,95,23,10,1,0,1
1,2,10,1,15,10,21,0,1,0
1,2,30,2,10,20,5,0,1,0
1,2,10,1,15,10,21,0,1,0
1,2,30,2,10,20,5,0,1,0
1,2,40,1,7,50,41,0,1,0
1,2,35,2,2,29,33,0,1,0
1,2,10,1,8,9,3,0,1,0
1,2,15,2,7,12,7,0,1,0
2,2,14,1,97,15,14,0,0,1
2,2,13,1,82,20,30,0,0,1
2,2,24,2,97,15,14,0,0,1
2,2,23,2,82,20,30,0,0,1
1,2,20,1,3,9,3,0,1,0
1,2,15,2,4,12,7,0,1,0
1,2,5,1,13,6,6,0,1,0
1,2,7,2,9,11,10,0,1,0
1,2,30,1,98,42,21,1,0,1
1,2,35,2,97,41,23,1,0,1
2,2,72,1,98,52,15,1,0,1
2,2,75,2,90,51,17,1,0,1
1,2,90,1,98,41,38,1,0,1
1,2,80,2,88,51,39,1,0,1
1,2,80,1,95,21,28,1,0,1
1,2,78,2,70,31,29,1,0,1
